time,unburn_carbon,nilai_kalor,co,co2,out_generator,sfc,eco_gas_out_temp,pa_flow,o2,fuel_temp,sa_flow,carbon,hydrogen,nitrogen,sulfur,ash,total_moisture,oxygen,surface_moisture,inherent_moisture
05/04/2022,0.839,3826.54718,7.85366E-05,13.13,482.9202975,0.726366087,339.7082504,977.5897804,4.300255409,59.1147619,1514.654226,41.11071348,2.98774337,0.624235561,0.26409966,4.806613817,38.52,11.68659412,15.408,23.112
20/05/2022,0.904,4073.933954,4.87805E-05,15.7,516.3852163,0.669536015,340.7974501,1034.559676,3.757230319,59.1147619,1479.817402,43.96899851,3.093150032,0.646250931,0.335093075,5.074266567,35.71,11.17224089,14.284,21.426
21/06/2022,0.515,4173.735311,0.000352195,13.6,451.4284105,0.64731637,338.5939116,1098.392301,4.897160457,59.1147619,1348.47544,44.19512846,3.218854774,0.701394964,0.270871087,5.334466997,34.1,12.17928371,13.64,20.46
26/07/2022,0.515,4330.680727,0.000352195,13.6,478.94997,0.570726925,329.7213596,952.5113103,3.9765625,59.1147619,1234.300143,45.89248905,3.56851962,0.750684528,0.755004907,7.272055615,29.83,11.93124628,11.932,17.898
18/08/2022,0.797,4009.830871,0.00028439,13.725,422.2096605,0.611224764,330.82,1025.449644,4.75401893,55.48809524,1224.312439,42.39127351,3.220312309,0.959008027,0.311872529,6.026936624,34.92,12.170597,13.968,20.952
08/09/2022,1.237,4134.120869,0.000374146,13.3,406.0180288,0.679977194,322.4184969,1050.270083,5.045053335,56.53404762,1181.280536,43.57986514,3.205294588,0.629471599,0.237141331,5.426716341,34.835,12.086511,13.934,20.901
25/10/2022,0.839,4134.120869,0.000289512,13.575,402.9722806,0.648037697,327.0150076,986.7101746,4.612605168,54.76238095,1194.952778,43.57986514,3.205294588,0.629471599,0.237141331,5.426716341,34.835,12.086511,13.934,20.901
07/11/2022,0.0269592,3947.754754,0.000339024,11.45,335.3937049,0.678513376,324.0195626,980.6549096,5.97644982,66.0247619,1142.963147,41.04783793,3.144195862,0.683287551,0.62109619,7.240428108,35.685,11.57815436,14.274,21.411
13/12/2022,0.051,4952.03,0.000339024,11.45,576.2654307,0.615288644,364.9958134,975.1278888,2.220208688,66.0247619,1559.694208,51.75,3.18,0.99,0.54,5.32,30.36,7.86,12.144,18.216
19/01/2023,0.152,4920.257913,0.00018078,14.825,469.28,0.481832808,318.77,911.5281748,3.665884165,66.0247619,1290.524611,49.89814591,3.881986688,0.824682074,0.706863286,7.378128665,26.18,11.13019337,10.472,15.708
23/02/2023,0.1445,3984.455,0.013109756,16.2,574.56,0.585509781,335.7706033,1009.479762,2.017841046,66.0247619,1530.923753,41.62,3.23,0.66,0.36,7.63,36.085,10.415,14.434,21.651
12/04/2023,0.331,3813.040009,0.013109756,16.2,570.64,0.634268541,352.6408605,1088.362946,3.655742939,58.8552381,1521.551443,40.04613539,2.865087876,0.632307401,0.257606719,5.558060116,38.19,12.4508025,15.276,22.914
15/05/2023,0.101,3771.795399,0.000378049,17.11,559.5646034,0.634811478,353.5812914,1129.129841,3.311823918,58.8552381,1443.053448,39.76397727,2.877640747,0.596847222,0.201532828,5.937467172,38.61,12.01253476,15.444,23.166
,,#REF!,0,13.1,,,,978.0568871,4.02,53.98785714,1405.361835,40.88565984,3.002336253,0.570468459,0.19788545,4.40569902,39.24,11.69795098,15.696,23.544
